location_id,zone,aisle,rack,temperature_class,capacity,current_utilization,status,restricted,allowed_product_type
AMBI-02-R01-B01,AMBIENT,AMBI-02,R01,AMBIENT_20C,80,48,ACTIVE,False,GENERAL
AMBI-02-R01-B02,AMBIENT,AMBI-02,R01,AMBIENT_20C,100,20,ACTIVE,False,GENERAL
AMBI-02-R01-B03,AMBIENT,AMBI-02,R01,AMBIENT_20C,150,69,ACTIVE,False,GENERAL
AMBI-02-R01-B04,AMBIENT,AMBI-02,R01,AMBIENT_20C,100,53,ACTIVE,False,GENERAL
AMBI-02-R02-B01,AMBIENT,AMBI-02,R02,AMBIENT_20C,80,24,ACTIVE,False,GENERAL
AMBI-02-R02-B02,AMBIENT,AMBI-02,R02,AMBIENT_20C,150,35,ACTIVE,False,GENERAL
AMBI-02-R02-B03,AMBIENT,AMBI-02,R02,AMBIENT_20C,100,68,ACTIVE,False,GENERAL
AMBI-02-R02-B04,AMBIENT,AMBI-02,R02,AMBIENT_20C,150,23,ACTIVE,False,GENERAL
AMBI-02-R03-B01,AMBIENT,AMBI-02,R03,AMBIENT_20C,200,66,ACTIVE,False,GENERAL
AMBI-02-R03-B02,AMBIENT,AMBI-02,R03,AMBIENT_20C,200,19,ACTIVE,False,GENERAL
AMBI-02-R03-B03,AMBIENT,AMBI-02,R03,AMBIENT_20C,100,57,ACTIVE,False,GENERAL
AMBI-02-R03-B04,AMBIENT,AMBI-02,R03,AMBIENT_20C,150,57,ACTIVE,False,GENERAL
AMBI-02-R04-B01,AMBIENT,AMBI-02,R04,AMBIENT_20C,200,33,ACTIVE,False,GENERAL
AMBI-02-R04-B02,AMBIENT,AMBI-02,R04,AMBIENT_20C,100,42,ACTIVE,False,GENERAL
AMBI-02-R04-B03,AMBIENT,AMBI-02,R04,AMBIENT_20C,80,65,ACTIVE,False,GENERAL
AMBI-02-R04-B04,AMBIENT,AMBI-02,R04,AMBIENT_20C,100,60,ACTIVE,False,GENERAL
AMBI-02-R05-B01,AMBIENT,AMBI-02,R05,AMBIENT_20C,80,34,ACTIVE,False,GENERAL
AMBI-02-R05-B02,AMBIENT,AMBI-02,R05,AMBIENT_20C,200,43,ACTIVE,False,GENERAL
AMBI-02-R05-B03,AMBIENT,AMBI-02,R05,AMBIENT_20C,80,53,ACTIVE,False,GENERAL
AMBI-02-R05-B04,AMBIENT,AMBI-02,R05,AMBIENT_20C,150,59,ACTIVE,False,GENERAL
AMBI-03-R01-B01,AMBIENT,AMBI-03,R01,AMBIENT_20C,80,28,ACTIVE,False,GENERAL
AMBI-03-R01-B02,AMBIENT,AMBI-03,R01,AMBIENT_20C,200,10,ACTIVE,False,GENERAL
AMBI-03-R01-B03,AMBIENT,AMBI-03,R01,AMBIENT_20C,150,42,ACTIVE,False,GENERAL
AMBI-03-R01-B04,AMBIENT,AMBI-03,R01,AMBIENT_20C,80,65,ACTIVE,False,GENERAL
AMBI-03-R02-B01,AMBIENT,AMBI-03,R02,AMBIENT_20C,100,19,ACTIVE,False,GENERAL
AMBI-03-R02-B02,AMBIENT,AMBI-03,R02,AMBIENT_20C,100,44,ACTIVE,False,GENERAL
AMBI-03-R02-B03,AMBIENT,AMBI-03,R02,AMBIENT_20C,80,48,ACTIVE,False,GENERAL
AMBI-03-R02-B04,AMBIENT,AMBI-03,R02,AMBIENT_20C,80,17,ACTIVE,False,GENERAL
AMBI-03-R03-B01,AMBIENT,AMBI-03,R03,AMBIENT_20C,150,25,ACTIVE,False,GENERAL
AMBI-03-R03-B02,AMBIENT,AMBI-03,R03,AMBIENT_20C,80,15,ACTIVE,False,GENERAL
AMBI-03-R03-B03,AMBIENT,AMBI-03,R03,AMBIENT_20C,80,58,ACTIVE,False,GENERAL
AMBI-03-R03-B04,AMBIENT,AMBI-03,R03,AMBIENT_20C,100,18,ACTIVE,False,GENERAL
AMBI-03-R04-B01,AMBIENT,AMBI-03,R04,AMBIENT_20C,100,26,ACTIVE,False,GENERAL
AMBI-03-R04-B02,AMBIENT,AMBI-03,R04,AMBIENT_20C,200,23,ACTIVE,False,GENERAL
AMBI-03-R04-B03,AMBIENT,AMBI-03,R04,AMBIENT_20C,100,55,ACTIVE,False,GENERAL
AMBI-03-R04-B04,AMBIENT,AMBI-03,R04,AMBIENT_20C,150,38,ACTIVE,False,GENERAL
AMBI-03-R05-B01,AMBIENT,AMBI-03,R05,AMBIENT_20C,200,17,ACTIVE,False,GENERAL
AMBI-03-R05-B02,AMBIENT,AMBI-03,R05,AMBIENT_20C,80,31,ACTIVE,False,GENERAL
AMBI-03-R05-B03,AMBIENT,AMBI-03,R05,AMBIENT_20C,100,47,BLOCKED,False,GENERAL
AMBI-03-R05-B04,AMBIENT,AMBI-03,R05,AMBIENT_20C,80,55,ACTIVE,False,GENERAL
AMBI-04-R01-B01,AMBIENT,AMBI-04,R01,AMBIENT_20C,100,14,ACTIVE,False,GENERAL
AMBI-04-R01-B02,AMBIENT,AMBI-04,R01,AMBIENT_20C,150,14,ACTIVE,False,GENERAL
AMBI-04-R01-B03,AMBIENT,AMBI-04,R01,AMBIENT_20C,150,52,ACTIVE,False,GENERAL
AMBI-04-R01-B04,AMBIENT,AMBI-04,R01,AMBIENT_20C,100,56,ACTIVE,False,GENERAL
AMBI-04-R02-B01,AMBIENT,AMBI-04,R02,AMBIENT_20C,200,25,ACTIVE,False,GENERAL
AMBI-04-R02-B02,AMBIENT,AMBI-04,R02,AMBIENT_20C,200,22,ACTIVE,False,GENERAL
AMBI-04-R02-B03,AMBIENT,AMBI-04,R02,AMBIENT_20C,200,32,ACTIVE,False,GENERAL
AMBI-04-R02-B04,AMBIENT,AMBI-04,R02,AMBIENT_20C,200,65,ACTIVE,False,GENERAL
AMBI-04-R03-B01,AMBIENT,AMBI-04,R03,AMBIENT_20C,80,13,ACTIVE,False,GENERAL
AMBI-04-R03-B02,AMBIENT,AMBI-04,R03,AMBIENT_20C,150,61,ACTIVE,False,GENERAL
AMBI-04-R03-B03,AMBIENT,AMBI-04,R03,AMBIENT_20C,100,22,ACTIVE,False,GENERAL
AMBI-04-R03-B04,AMBIENT,AMBI-04,R03,AMBIENT_20C,200,18,ACTIVE,False,GENERAL
AMBI-04-R04-B01,AMBIENT,AMBI-04,R04,AMBIENT_20C,150,39,ACTIVE,False,GENERAL
AMBI-04-R04-B02,AMBIENT,AMBI-04,R04,AMBIENT_20C,80,38,ACTIVE,False,GENERAL
AMBI-04-R04-B03,AMBIENT,AMBI-04,R04,AMBIENT_20C,80,13,ACTIVE,False,GENERAL
AMBI-04-R04-B04,AMBIENT,AMBI-04,R04,AMBIENT_20C,80,15,ACTIVE,False,GENERAL
AMBI-04-R05-B01,AMBIENT,AMBI-04,R05,AMBIENT_20C,100,20,ACTIVE,False,GENERAL
AMBI-04-R05-B02,AMBIENT,AMBI-04,R05,AMBIENT_20C,200,23,ACTIVE,False,GENERAL
AMBI-04-R05-B03,AMBIENT,AMBI-04,R05,AMBIENT_20C,80,20,ACTIVE,False,GENERAL
AMBI-04-R05-B04,AMBIENT,AMBI-04,R05,AMBIENT_20C,200,26,ACTIVE,False,GENERAL
COLD-01-R01-B01,COLD_STORAGE,COLD-01,R01,COLD_4C,200,28,ACTIVE,False,VACCINE
COLD-01-R01-B02,COLD_STORAGE,COLD-01,R01,COLD_4C,200,19,ACTIVE,False,VACCINE
COLD-01-R01-B03,COLD_STORAGE,COLD-01,R01,COLD_4C,100,13,ACTIVE,False,VACCINE
COLD-01-R01-B04,COLD_STORAGE,COLD-01,R01,COLD_4C,80,57,ACTIVE,False,VACCINE
COLD-01-R02-B01,COLD_STORAGE,COLD-01,R02,COLD_4C,80,47,ACTIVE,False,VACCINE
COLD-01-R02-B02,COLD_STORAGE,COLD-01,R02,COLD_4C,100,13,ACTIVE,False,VACCINE
COLD-01-R02-B03,COLD_STORAGE,COLD-01,R02,COLD_4C,80,64,ACTIVE,False,VACCINE
COLD-01-R02-B04,COLD_STORAGE,COLD-01,R02,COLD_4C,80,53,ACTIVE,False,VACCINE
COLD-01-R03-B01,COLD_STORAGE,COLD-01,R03,COLD_4C,200,17,ACTIVE,False,VACCINE
COLD-01-R03-B02,COLD_STORAGE,COLD-01,R03,COLD_4C,100,47,ACTIVE,False,VACCINE
COLD-01-R03-B03,COLD_STORAGE,COLD-01,R03,COLD_4C,80,36,ACTIVE,False,VACCINE
COLD-01-R03-B04,COLD_STORAGE,COLD-01,R03,COLD_4C,150,69,ACTIVE,False,VACCINE
COLD-01-R04-B01,COLD_STORAGE,COLD-01,R04,COLD_4C,150,25,ACTIVE,False,VACCINE
COLD-01-R04-B02,COLD_STORAGE,COLD-01,R04,COLD_4C,100,52,ACTIVE,False,VACCINE
COLD-01-R04-B03,COLD_STORAGE,COLD-01,R04,COLD_4C,200,30,ACTIVE,False,VACCINE
COLD-01-R04-B04,COLD_STORAGE,COLD-01,R04,COLD_4C,80,10,ACTIVE,False,VACCINE
COLD-01-R05-B01,COLD_STORAGE,COLD-01,R05,COLD_4C,80,14,ACTIVE,False,VACCINE
COLD-01-R05-B02,COLD_STORAGE,COLD-01,R05,COLD_4C,150,18,ACTIVE,False,VACCINE
COLD-01-R05-B03,COLD_STORAGE,COLD-01,R05,COLD_4C,80,66,ACTIVE,False,VACCINE
COLD-01-R05-B04,COLD_STORAGE,COLD-01,R05,COLD_4C,150,20,ACTIVE,False,VACCINE
COLD-02-R01-B01,COLD_STORAGE,COLD-02,R01,COLD_4C,150,49,ACTIVE,False,VACCINE
COLD-02-R01-B02,COLD_STORAGE,COLD-02,R01,COLD_4C,80,52,ACTIVE,False,VACCINE
COLD-02-R01-B04,COLD_STORAGE,COLD-02,R01,COLD_4C,150,69,ACTIVE,False,VACCINE
COLD-02-R02-B01,COLD_STORAGE,COLD-02,R02,COLD_4C,100,26,ACTIVE,False,VACCINE
COLD-02-R02-B02,COLD_STORAGE,COLD-02,R02,COLD_4C,80,57,ACTIVE,False,VACCINE
COLD-02-R02-B03,COLD_STORAGE,COLD-02,R02,COLD_4C,150,28,ACTIVE,False,VACCINE
COLD-02-R02-B04,COLD_STORAGE,COLD-02,R02,COLD_4C,150,23,ACTIVE,False,VACCINE
COLD-02-R03-B01,COLD_STORAGE,COLD-02,R03,COLD_4C,150,42,ACTIVE,False,VACCINE
COLD-02-R03-B02,COLD_STORAGE,COLD-02,R03,COLD_4C,80,15,ACTIVE,False,VACCINE
COLD-02-R03-B03,COLD_STORAGE,COLD-02,R03,COLD_4C,150,12,ACTIVE,False,VACCINE
COLD-02-R03-B04,COLD_STORAGE,COLD-02,R03,COLD_4C,100,50,BLOCKED,False,VACCINE
COLD-02-R04-B01,COLD_STORAGE,COLD-02,R04,COLD_4C,100,57,ACTIVE,False,VACCINE
COLD-02-R04-B02,COLD_STORAGE,COLD-02,R04,COLD_4C,200,45,ACTIVE,False,VACCINE
COLD-02-R04-B03,COLD_STORAGE,COLD-02,R04,COLD_4C,80,70,BLOCKED,False,VACCINE
COLD-02-R04-B04,COLD_STORAGE,COLD-02,R04,COLD_4C,100,44,ACTIVE,False,VACCINE
COLD-02-R05-B01,COLD_STORAGE,COLD-02,R05,COLD_4C,150,47,BLOCKED,False,VACCINE
COLD-02-R05-B02,COLD_STORAGE,COLD-02,R05,COLD_4C,200,18,ACTIVE,False,VACCINE
COLD-02-R05-B03,COLD_STORAGE,COLD-02,R05,COLD_4C,150,67,BLOCKED,False,VACCINE
COLD-02-R05-B04,COLD_STORAGE,COLD-02,R05,COLD_4C,80,67,ACTIVE,False,VACCINE
COLD-03-R01-B01,COLD_STORAGE,COLD-03,R01,COLD_4C,100,52,ACTIVE,False,VACCINE
COLD-03-R01-B02,COLD_STORAGE,COLD-03,R01,COLD_4C,200,49,ACTIVE,False,VACCINE
COLD-03-R01-B03,COLD_STORAGE,COLD-03,R01,COLD_4C,100,65,ACTIVE,False,VACCINE
COLD-03-R01-B04,COLD_STORAGE,COLD-03,R01,COLD_4C,100,66,ACTIVE,False,VACCINE
COLD-03-R02-B01,COLD_STORAGE,COLD-03,R02,COLD_4C,100,57,ACTIVE,False,VACCINE
COLD-03-R02-B02,COLD_STORAGE,COLD-03,R02,COLD_4C,200,61,ACTIVE,False,VACCINE
COLD-03-R02-B03,COLD_STORAGE,COLD-03,R02,COLD_4C,100,27,ACTIVE,False,VACCINE
COLD-03-R02-B04,COLD_STORAGE,COLD-03,R02,COLD_4C,80,34,ACTIVE,False,VACCINE
COLD-03-R03-B01,COLD_STORAGE,COLD-03,R03,COLD_4C,200,24,ACTIVE,False,VACCINE
COLD-03-R03-B02,COLD_STORAGE,COLD-03,R03,COLD_4C,200,32,ACTIVE,False,VACCINE
COLD-03-R03-B03,COLD_STORAGE,COLD-03,R03,COLD_4C,100,24,ACTIVE,False,VACCINE
COLD-03-R03-B04,COLD_STORAGE,COLD-03,R03,COLD_4C,100,35,BLOCKED,False,VACCINE
COLD-03-R04-B01,COLD_STORAGE,COLD-03,R04,COLD_4C,80,59,ACTIVE,False,VACCINE
COLD-03-R04-B02,COLD_STORAGE,COLD-03,R04,COLD_4C,200,53,ACTIVE,False,VACCINE
COLD-03-R04-B03,COLD_STORAGE,COLD-03,R04,COLD_4C,150,70,ACTIVE,False,VACCINE
COLD-03-R04-B04,COLD_STORAGE,COLD-03,R04,COLD_4C,150,21,BLOCKED,False,VACCINE
COLD-03-R05-B01,COLD_STORAGE,COLD-03,R05,COLD_4C,150,12,ACTIVE,False,VACCINE
COLD-03-R05-B02,COLD_STORAGE,COLD-03,R05,COLD_4C,200,32,ACTIVE,False,VACCINE
COLD-03-R05-B03,COLD_STORAGE,COLD-03,R05,COLD_4C,150,37,ACTIVE,False,VACCINE
COLD-03-R05-B04,COLD_STORAGE,COLD-03,R05,COLD_4C,80,34,ACTIVE,False,VACCINE
COLD-04-R01-B01,COLD_STORAGE,COLD-04,R01,COLD_4C,100,26,ACTIVE,False,VACCINE
COLD-04-R01-B02,COLD_STORAGE,COLD-04,R01,COLD_4C,200,10,BLOCKED,False,VACCINE
COLD-04-R01-B03,COLD_STORAGE,COLD-04,R01,COLD_4C,100,33,ACTIVE,False,VACCINE
COLD-04-R01-B04,COLD_STORAGE,COLD-04,R01,COLD_4C,150,49,ACTIVE,False,VACCINE
COLD-04-R02-B01,COLD_STORAGE,COLD-04,R02,COLD_4C,80,56,ACTIVE,False,VACCINE
COLD-04-R02-B02,COLD_STORAGE,COLD-04,R02,COLD_4C,150,52,ACTIVE,False,VACCINE
COLD-04-R02-B03,COLD_STORAGE,COLD-04,R02,COLD_4C,200,54,ACTIVE,False,VACCINE
COLD-04-R02-B04,COLD_STORAGE,COLD-04,R02,COLD_4C,100,22,ACTIVE,False,VACCINE
COLD-04-R03-B01,COLD_STORAGE,COLD-04,R03,COLD_4C,200,53,ACTIVE,False,VACCINE
COLD-04-R03-B02,COLD_STORAGE,COLD-04,R03,COLD_4C,100,49,ACTIVE,False,VACCINE
COLD-04-R03-B03,COLD_STORAGE,COLD-04,R03,COLD_4C,200,45,ACTIVE,False,VACCINE
COLD-04-R03-B04,COLD_STORAGE,COLD-04,R03,COLD_4C,150,28,ACTIVE,False,VACCINE
COLD-04-R04-B01,COLD_STORAGE,COLD-04,R04,COLD_4C,150,39,ACTIVE,False,VACCINE
COLD-04-R04-B02,COLD_STORAGE,COLD-04,R04,COLD_4C,100,42,ACTIVE,False,VACCINE
COLD-04-R04-B03,COLD_STORAGE,COLD-04,R04,COLD_4C,100,52,ACTIVE,False,VACCINE
COLD-04-R04-B04,COLD_STORAGE,COLD-04,R04,COLD_4C,150,15,ACTIVE,False,VACCINE
COLD-04-R05-B01,COLD_STORAGE,COLD-04,R05,COLD_4C,100,53,ACTIVE,False,VACCINE
COLD-04-R05-B02,COLD_STORAGE,COLD-04,R05,COLD_4C,100,19,ACTIVE,False,VACCINE
COLD-04-R05-B03,COLD_STORAGE,COLD-04,R05,COLD_4C,100,40,BLOCKED,False,VACCINE
COLD-04-R05-B04,COLD_STORAGE,COLD-04,R05,COLD_4C,80,39,ACTIVE,False,VACCINE
QUAR-01-R01-B01,QUARANTINE,QUAR-01,R01,AMBIENT_20C,100,55,ACTIVE,False,GENERAL
QUAR-01-R01-B02,QUARANTINE,QUAR-01,R01,AMBIENT_20C,200,35,ACTIVE,False,GENERAL
QUAR-01-R01-B03,QUARANTINE,QUAR-01,R01,AMBIENT_20C,80,67,ACTIVE,False,GENERAL
QUAR-01-R01-B04,QUARANTINE,QUAR-01,R01,AMBIENT_20C,80,59,ACTIVE,False,GENERAL
QUAR-01-R02-B01,QUARANTINE,QUAR-01,R02,AMBIENT_20C,100,61,ACTIVE,False,GENERAL
QUAR-01-R02-B02,QUARANTINE,QUAR-01,R02,AMBIENT_20C,200,13,ACTIVE,False,GENERAL
QUAR-01-R02-B03,QUARANTINE,QUAR-01,R02,AMBIENT_20C,80,39,ACTIVE,False,GENERAL
QUAR-01-R02-B04,QUARANTINE,QUAR-01,R02,AMBIENT_20C,200,52,ACTIVE,False,GENERAL
QUAR-01-R03-B01,QUARANTINE,QUAR-01,R03,AMBIENT_20C,150,70,ACTIVE,False,GENERAL
QUAR-01-R03-B02,QUARANTINE,QUAR-01,R03,AMBIENT_20C,200,49,ACTIVE,False,GENERAL
QUAR-01-R03-B03,QUARANTINE,QUAR-01,R03,AMBIENT_20C,200,63,ACTIVE,False,GENERAL
QUAR-01-R03-B04,QUARANTINE,QUAR-01,R03,AMBIENT_20C,200,67,ACTIVE,False,GENERAL
QUAR-01-R04-B01,QUARANTINE,QUAR-01,R04,AMBIENT_20C,200,38,ACTIVE,False,GENERAL
QUAR-01-R04-B02,QUARANTINE,QUAR-01,R04,AMBIENT_20C,100,63,ACTIVE,False,GENERAL
QUAR-01-R04-B03,QUARANTINE,QUAR-01,R04,AMBIENT_20C,200,50,ACTIVE,False,GENERAL
QUAR-01-R04-B04,QUARANTINE,QUAR-01,R04,AMBIENT_20C,200,14,ACTIVE,False,GENERAL
QUAR-01-R05-B01,QUARANTINE,QUAR-01,R05,AMBIENT_20C,100,27,ACTIVE,False,GENERAL
QUAR-01-R05-B02,QUARANTINE,QUAR-01,R05,AMBIENT_20C,80,18,ACTIVE,False,GENERAL
QUAR-01-R05-B03,QUARANTINE,QUAR-01,R05,AMBIENT_20C,200,54,ACTIVE,False,GENERAL
QUAR-01-R05-B04,QUARANTINE,QUAR-01,R05,AMBIENT_20C,100,14,ACTIVE,False,GENERAL
QUAR-02-R01-B01,QUARANTINE,QUAR-02,R01,AMBIENT_20C,150,44,ACTIVE,False,GENERAL
QUAR-02-R01-B02,QUARANTINE,QUAR-02,R01,AMBIENT_20C,80,23,ACTIVE,False,GENERAL
QUAR-02-R01-B03,QUARANTINE,QUAR-02,R01,AMBIENT_20C,200,67,ACTIVE,False,GENERAL
QUAR-02-R01-B04,QUARANTINE,QUAR-02,R01,AMBIENT_20C,80,64,ACTIVE,False,GENERAL
QUAR-02-R02-B01,QUARANTINE,QUAR-02,R02,AMBIENT_20C,200,40,ACTIVE,False,GENERAL
QUAR-02-R02-B02,QUARANTINE,QUAR-02,R02,AMBIENT_20C,150,29,BLOCKED,False,GENERAL
QUAR-02-R02-B03,QUARANTINE,QUAR-02,R02,AMBIENT_20C,200,44,ACTIVE,False,GENERAL
QUAR-02-R02-B04,QUARANTINE,QUAR-02,R02,AMBIENT_20C,100,41,ACTIVE,False,GENERAL
QUAR-02-R03-B01,QUARANTINE,QUAR-02,R03,AMBIENT_20C,200,41,ACTIVE,False,GENERAL
QUAR-02-R03-B02,QUARANTINE,QUAR-02,R03,AMBIENT_20C,150,52,BLOCKED,False,GENERAL
QUAR-02-R03-B03,QUARANTINE,QUAR-02,R03,AMBIENT_20C,200,56,ACTIVE,False,GENERAL
QUAR-02-R03-B04,QUARANTINE,QUAR-02,R03,AMBIENT_20C,200,68,ACTIVE,False,GENERAL
QUAR-02-R04-B01,QUARANTINE,QUAR-02,R04,AMBIENT_20C,80,68,ACTIVE,False,GENERAL
QUAR-02-R04-B02,QUARANTINE,QUAR-02,R04,AMBIENT_20C,80,15,ACTIVE,False,GENERAL
QUAR-02-R04-B03,QUARANTINE,QUAR-02,R04,AMBIENT_20C,100,65,ACTIVE,False,GENERAL
QUAR-02-R04-B04,QUARANTINE,QUAR-02,R04,AMBIENT_20C,80,26,ACTIVE,False,GENERAL
QUAR-02-R05-B01,QUARANTINE,QUAR-02,R05,AMBIENT_20C,100,39,ACTIVE,False,GENERAL
QUAR-02-R05-B02,QUARANTINE,QUAR-02,R05,AMBIENT_20C,200,27,ACTIVE,False,GENERAL
QUAR-02-R05-B03,QUARANTINE,QUAR-02,R05,AMBIENT_20C,200,26,ACTIVE,False,GENERAL
QUAR-02-R05-B04,QUARANTINE,QUAR-02,R05,AMBIENT_20C,200,11,ACTIVE,False,GENERAL
QUAR-03-R01-B01,QUARANTINE,QUAR-03,R01,AMBIENT_20C,80,70,ACTIVE,False,GENERAL
QUAR-03-R01-B02,QUARANTINE,QUAR-03,R01,AMBIENT_20C,80,59,ACTIVE,False,GENERAL
QUAR-03-R01-B03,QUARANTINE,QUAR-03,R01,AMBIENT_20C,80,58,ACTIVE,False,GENERAL
QUAR-03-R01-B04,QUARANTINE,QUAR-03,R01,AMBIENT_20C,100,22,BLOCKED,False,GENERAL
QUAR-03-R02-B01,QUARANTINE,QUAR-03,R02,AMBIENT_20C,100,25,ACTIVE,False,GENERAL
QUAR-03-R02-B02,QUARANTINE,QUAR-03,R02,AMBIENT_20C,80,46,ACTIVE,False,GENERAL
QUAR-03-R02-B03,QUARANTINE,QUAR-03,R02,AMBIENT_20C,200,54,ACTIVE,False,GENERAL
QUAR-03-R02-B04,QUARANTINE,QUAR-03,R02,AMBIENT_20C,150,20,ACTIVE,False,GENERAL
QUAR-03-R03-B01,QUARANTINE,QUAR-03,R03,AMBIENT_20C,80,59,ACTIVE,False,GENERAL
QUAR-03-R03-B02,QUARANTINE,QUAR-03,R03,AMBIENT_20C,150,16,ACTIVE,False,GENERAL
QUAR-03-R03-B03,QUARANTINE,QUAR-03,R03,AMBIENT_20C,150,46,ACTIVE,False,GENERAL
QUAR-03-R03-B04,QUARANTINE,QUAR-03,R03,AMBIENT_20C,200,35,ACTIVE,False,GENERAL
QUAR-03-R04-B01,QUARANTINE,QUAR-03,R04,AMBIENT_20C,100,14,ACTIVE,False,GENERAL
QUAR-03-R04-B02,QUARANTINE,QUAR-03,R04,AMBIENT_20C,100,16,ACTIVE,False,GENERAL
QUAR-03-R04-B03,QUARANTINE,QUAR-03,R04,AMBIENT_20C,150,64,ACTIVE,False,GENERAL
QUAR-03-R04-B04,QUARANTINE,QUAR-03,R04,AMBIENT_20C,80,60,ACTIVE,False,GENERAL
QUAR-03-R05-B01,QUARANTINE,QUAR-03,R05,AMBIENT_20C,80,32,ACTIVE,False,GENERAL
QUAR-03-R05-B02,QUARANTINE,QUAR-03,R05,AMBIENT_20C,150,14,ACTIVE,False,GENERAL
QUAR-03-R05-B03,QUARANTINE,QUAR-03,R05,AMBIENT_20C,150,10,ACTIVE,False,GENERAL
QUAR-03-R05-B04,QUARANTINE,QUAR-03,R05,AMBIENT_20C,200,16,ACTIVE,False,GENERAL
QUAR-04-R01-B01,QUARANTINE,QUAR-04,R01,AMBIENT_20C,150,50,ACTIVE,False,GENERAL
QUAR-04-R01-B02,QUARANTINE,QUAR-04,R01,AMBIENT_20C,200,55,ACTIVE,False,GENERAL
QUAR-04-R01-B03,QUARANTINE,QUAR-04,R01,AMBIENT_20C,100,56,ACTIVE,False,GENERAL
QUAR-04-R01-B04,QUARANTINE,QUAR-04,R01,AMBIENT_20C,150,49,ACTIVE,False,GENERAL
QUAR-04-R02-B01,QUARANTINE,QUAR-04,R02,AMBIENT_20C,200,39,ACTIVE,False,GENERAL
QUAR-04-R02-B02,QUARANTINE,QUAR-04,R02,AMBIENT_20C,150,30,ACTIVE,False,GENERAL
QUAR-04-R02-B03,QUARANTINE,QUAR-04,R02,AMBIENT_20C,80,27,ACTIVE,False,GENERAL
QUAR-04-R02-B04,QUARANTINE,QUAR-04,R02,AMBIENT_20C,100,58,ACTIVE,False,GENERAL
QUAR-04-R03-B01,QUARANTINE,QUAR-04,R03,AMBIENT_20C,200,31,ACTIVE,False,GENERAL
QUAR-04-R03-B02,QUARANTINE,QUAR-04,R03,AMBIENT_20C,150,21,BLOCKED,False,GENERAL
QUAR-04-R03-B03,QUARANTINE,QUAR-04,R03,AMBIENT_20C,150,61,ACTIVE,False,GENERAL
QUAR-04-R03-B04,QUARANTINE,QUAR-04,R03,AMBIENT_20C,150,66,ACTIVE,False,GENERAL
QUAR-04-R04-B01,QUARANTINE,QUAR-04,R04,AMBIENT_20C,150,45,ACTIVE,False,GENERAL
