move_id,sku,batch_id,quantity,source_location,destination_location,worker_id,timestamp,reason
MOV-00034,MED-1014,BATCH-MED-1014-01,200,HIGH-04-R04-B03,HIGH-02-R02-B04,W-101,2026-08-23 06:57:31.969562,RELOCATION
MOV-00037,MED-1015,BATCH-MED-1015-01,200,QUAR-01-R04-B03,QUAR-02-R03-B01,W-103,2026-08-26 09:57:31.969562,RELOCATION
MOV-00038,MED-1015,BATCH-MED-1015-01,50,QUAR-02-R03-B01,QUAR-03-R03-B02,W-104,2026-08-29 12:57:31.969562,RELOCATION
MOV-00039,MED-1015,BATCH-MED-1015-01,100,QUAR-03-R03-B02,QUAR-03-R05-B02,W-105,2026-09-01 02:57:31.969562,REPLENISHMENT
MOV-00041,MED-1016,BATCH-MED-1016-01,100,HIGH-02-R05-B01,HIGH-03-R05-B02,W-101,2026-08-23 15:57:31.969562,REPLENISHMENT
MOV-00042,MED-1016,BATCH-MED-1016-01,100,HIGH-03-R05-B02,HIGH-01-R04-B01,W-105,2026-08-26 07:57:31.969562,REPLENISHMENT
MOV-00043,MED-1016,BATCH-MED-1016-01,100,HIGH-01-R04-B01,HIGH-04-R02-B03,W-103,2026-08-29 05:57:31.969562,ISOLATION
MOV-00045,MED-1017,BATCH-MED-1017-01,200,QUAR-02-R01-B01,QUAR-03-R01-B04,W-102,2026-08-24 11:57:31.969562,RELOCATION
MOV-00046,MED-1017,BATCH-MED-1017-01,100,QUAR-03-R01-B04,QUAR-01-R04-B01,W-102,2026-08-27 02:57:31.969562,RELOCATION
MOV-00048,MED-1018,BATCH-MED-1018-01,200,AMBI-02-R01-B02,AMBI-04-R03-B04,W-105,2026-08-06 11:57:31.969562,REPLENISHMENT
MOV-00049,MED-1018,BATCH-MED-1018-01,50,AMBI-04-R03-B04,AMBI-04-R05-B04,W-104,2026-08-09 06:57:31.969562,RELOCATION
MOV-00051,MED-1019,BATCH-MED-1019-01,50,QUAR-02-R04-B03,QUAR-03-R05-B01,W-103,2026-08-08 15:57:31.969562,REPLENISHMENT
MOV-00052,MED-1019,BATCH-MED-1019-01,50,QUAR-03-R05-B01,QUAR-01-R03-B01,W-105,2026-08-12 01:57:31.969562,ISOLATION
MOV-00055,MED-1021,BATCH-MED-1021-01,200,COLD-03-R01-B02,COLD-01-R03-B02,W-102,2026-08-07 09:57:31.969562,RELOCATION
MOV-00056,MED-1021,BATCH-MED-1021-01,100,COLD-01-R03-B02,COLD-02-R03-B04,W-104,2026-08-10 12:57:31.969562,ISOLATION
MOV-00058,MED-1022,BATCH-MED-1022-01,200,COLD-03-R02-B03,COLD-04-R05-B01,W-103,2026-08-15 07:57:31.969562,RELOCATION
MOV-00059,MED-1022,BATCH-MED-1022-01,200,COLD-04-R05-B01,COLD-03-R01-B03,W-104,2026-08-18 08:57:31.969562,REPLENISHMENT
MOV-00060,MED-1022,BATCH-MED-1022-01,200,COLD-03-R01-B03,COLD-02-R04-B01,W-105,2026-08-21 18:57:31.969562,RELOCATION
MOV-00062,MED-1023,BATCH-MED-1023-01,100,CONT-01-R05-B02,CONT-02-R05-B03,W-103,2026-08-15 15:57:31.969562,RELOCATION
MOV-00064,MED-1024,BATCH-MED-1024-01,50,CONT-01-R03-B03,CONT-02-R05-B03,W-103,2026-08-05 21:57:31.969562,REPLENISHMENT
MOV-00065,MED-1024,BATCH-MED-1024-01,50,CONT-02-R05-B03,CONT-02-R01-B04,W-102,2026-08-08 22:57:31.969562,RELOCATION
MOV-00068,MED-1025,BATCH-MED-1025-01,200,AMBI-03-R01-B03,AMBI-04-R05-B03,W-104,2026-08-07 14:57:31.969562,RELOCATION
MOV-00069,MED-1025,BATCH-MED-1025-01,200,AMBI-04-R05-B03,AMBI-03-R03-B04,W-102,2026-08-10 17:57:31.969562,REPLENISHMENT
MOV-00070,MED-1025,BATCH-MED-1025-01,200,AMBI-03-R03-B04,AMBI-04-R05-B02,W-104,2026-08-13 16:57:31.969562,RELOCATION
MOV-00072,MED-1026,BATCH-MED-1026-01,100,QUAR-03-R05-B04,QUAR-04-R01-B04,W-102,2026-08-20 13:57:31.969562,RELOCATION
MOV-00073,MED-1026,BATCH-MED-1026-01,100,QUAR-04-R01-B04,QUAR-04-R05-B01,W-101,2026-08-23 07:57:31.969562,ISOLATION
MOV-00075,MED-1027,BATCH-MED-1027-01,200,QUAR-04-R03-B02,QUAR-02-R04-B02,W-102,2026-08-23 01:57:31.969562,REPLENISHMENT
MOV-00078,MED-1028,BATCH-MED-1028-01,50,HIGH-01-R02-B02,HIGH-03-R02-B03,W-103,2026-08-14 03:57:31.969562,RELOCATION
MOV-00080,MED-1029,BATCH-MED-1029-01,200,QUAR-01-R05-B02,QUAR-03-R05-B04,W-101,2026-08-22 22:57:31.969562,RELOCATION
MOV-00083,MED-1030,BATCH-MED-1030-01,200,CONT-03-R04-B02,CONT-03-R04-B01,W-104,2026-08-23 17:57:31.969562,RELOCATION
MOV-00086,MED-1031,BATCH-MED-1031-01,200,CONT-04-R04-B01,CONT-03-R02-B01,W-104,2026-08-18 21:57:31.969562,RELOCATION
MOV-00087,MED-1031,BATCH-MED-1031-01,100,CONT-03-R02-B01,CONT-01-R03-B02,W-101,2026-08-22 02:57:31.969562,ISOLATION
MOV-00088,MED-1031,BATCH-MED-1031-01,200,CONT-01-R03-B02,CONT-04-R03-B01,W-105,2026-08-25 02:57:31.969562,RELOCATION
MOV-00090,MED-1032,BATCH-MED-1032-01,50,HIGH-01-R02-B01,HIGH-01-R02-B04,W-101,2026-08-06 09:57:31.969562,ISOLATION
MOV-00091,MED-1032,BATCH-MED-1032-01,50,HIGH-01-R02-B04,HIGH-03-R01-B02,W-103,2026-08-09 06:57:31.969562,ISOLATION
MOV-00093,MED-1033,BATCH-MED-1033-01,50,COLD-03-R05-B04,COLD-01-R01-B04,W-101,2026-08-11 00:57:31.969562,RELOCATION
MOV-00094,MED-1033,BATCH-MED-1033-01,100,COLD-01-R01-B04,COLD-01-R02-B01,W-105,2026-08-14 01:57:31.969562,REPLENISHMENT
MOV-00096,MED-1034,BATCH-MED-1034-01,50,CONT-03-R05-B04,CONT-03-R01-B02,W-103,2026-08-18 19:57:31.969562,REPLENISHMENT
MOV-00098,MED-1035,BATCH-MED-1035-01,200,HIGH-03-R03-B01,HIGH-02-R04-B02,W-104,2026-08-16 12:57:31.969562,RELOCATION
MOV-00099,MED-1035,BATCH-MED-1035-01,50,HIGH-02-R04-B02,HIGH-03-R04-B03,W-105,2026-08-19 20:57:31.969562,REPLENISHMENT
MOV-00100,MED-1035,BATCH-MED-1035-01,50,HIGH-03-R04-B03,HIGH-03-R01-B01,W-103,2026-08-22 12:57:31.969562,ISOLATION
MOV-00105,MED-1037,BATCH-MED-1037-01,100,CONT-01-R05-B04,CONT-03-R02-B02,W-105,2026-08-26 17:57:31.969562,RELOCATION
MOV-00107,MED-1038,BATCH-MED-1038-01,200,HIGH-03-R02-B03,HIGH-03-R03-B02,W-103,2026-08-15 07:57:31.969562,RELOCATION
MOV-00108,MED-1038,BATCH-MED-1038-01,200,HIGH-03-R03-B02,HIGH-01-R04-B02,W-102,2026-08-18 02:57:31.969562,REPLENISHMENT
MOV-00114,MED-1042,BATCH-MED-1042-01,100,COLD-03-R02-B03,COLD-04-R01-B04,W-105,2026-08-10 09:57:31.969562,ISOLATION
MOV-00116,MED-1043,BATCH-MED-1043-01,100,CONT-01-R04-B04,CONT-04-R01-B01,W-104,2026-08-07 22:57:31.969562,ISOLATION
MOV-00117,MED-1043,BATCH-MED-1043-01,100,CONT-04-R01-B01,CONT-01-R03-B01,W-101,2026-08-10 16:57:31.969562,REPLENISHMENT
MOV-00118,MED-1043,BATCH-MED-1043-01,200,CONT-01-R03-B01,CONT-03-R05-B03,W-103,2026-08-14 00:57:31.969562,RELOCATION
MOV-00123,MED-1046,BATCH-MED-1046-01,200,QUAR-01-R03-B02,QUAR-04-R02-B04,W-102,2026-08-18 11:57:31.969562,ISOLATION
MOV-00124,MED-1046,BATCH-MED-1046-01,50,QUAR-04-R02-B04,QUAR-04-R04-B02,W-105,2026-08-21 12:57:31.969562,ISOLATION
MOV-00125,MED-1046,BATCH-MED-1046-01,200,QUAR-04-R04-B02,QUAR-04-R05-B01,W-101,2026-08-24 15:57:31.969562,RELOCATION
MOV-00129,MED-1048,BATCH-MED-1048-01,100,QUAR-04-R01-B01,QUAR-01-R02-B03,W-104,2026-08-18 21:57:31.969562,REPLENISHMENT
MOV-00130,MED-1048,BATCH-MED-1048-01,100,QUAR-01-R02-B03,QUAR-03-R05-B03,W-105,2026-08-21 22:57:31.969562,RELOCATION
MOV-00131,MED-1048,BATCH-MED-1048-01,100,QUAR-03-R05-B03,QUAR-02-R05-B04,W-103,2026-08-25 06:57:31.969562,REPLENISHMENT
MOV-00134,MED-1049,BATCH-MED-1049-01,100,QUAR-02-R03-B02,QUAR-01-R02-B02,W-105,2026-08-12 17:57:31.969562,REPLENISHMENT
MOV-00138,MED-1051,BATCH-MED-1051-01,100,AMBI-03-R03-B02,AMBI-01-R02-B02,W-105,2026-08-10 06:57:31.969562,ISOLATION
MOV-00141,MED-1053,BATCH-MED-1053-01,50,HIGH-03-R02-B02,HIGH-04-R03-B02,W-104,2026-08-25 08:57:31.969562,ISOLATION
MOV-00142,MED-1053,BATCH-MED-1053-01,100,HIGH-04-R03-B02,HIGH-03-R05-B01,W-105,2026-08-28 12:57:31.969562,ISOLATION
MOV-00145,MED-1055,BATCH-MED-1055-01,200,COLD-04-R05-B02,COLD-03-R01-B03,W-104,2026-08-10 11:57:31.969562,RELOCATION
MOV-00146,MED-1055,BATCH-MED-1055-01,50,COLD-03-R01-B03,COLD-04-R05-B02,W-103,2026-08-13 12:57:31.969562,ISOLATION
MOV-00147,MED-1055,BATCH-MED-1055-01,100,COLD-04-R05-B02,COLD-03-R01-B01,W-105,2026-08-16 06:57:31.969562,ISOLATION
MOV-00149,MED-1056,BATCH-MED-1056-01,200,CONT-03-R01-B03,CONT-03-R02-B03,W-101,2026-08-10 05:57:31.969562,REPLENISHMENT
MOV-00151,MED-1057,BATCH-MED-1057-01,200,AMBI-04-R04-B04,AMBI-04-R02-B03,W-105,2026-08-11 18:57:31.969562,REPLENISHMENT
MOV-00154,MED-1058,BATCH-MED-1058-01,200,AMBI-02-R01-B04,AMBI-02-R02-B02,W-105,2026-08-26 08:57:31.969562,REPLENISHMENT
MOV-00155,MED-1058,BATCH-MED-1058-01,50,AMBI-02-R02-B02,AMBI-01-R02-B03,W-105,2026-08-29 13:57:31.969562,RELOCATION
MOV-00156,MED-1058,BATCH-MED-1058-01,200,AMBI-01-R02-B03,AMBI-04-R03-B03,W-104,2026-09-01 07:57:31.969562,ISOLATION
MOV-00158,MED-1059,BATCH-MED-1059-01,200,COLD-03-R05-B03,COLD-02-R03-B04,W-103,2026-08-09 10:57:31.969562,RELOCATION
MOV-00160,MED-1060,BATCH-MED-1060-01,50,QUAR-02-R04-B04,QUAR-02-R04-B03,W-105,2026-08-19 22:57:31.969562,ISOLATION
MOV-00161,MED-1060,BATCH-MED-1060-01,100,QUAR-02-R04-B03,QUAR-04-R03-B01,W-103,2026-08-23 00:57:31.969562,RELOCATION
MOV-00162,MED-1060,BATCH-MED-1060-01,100,QUAR-04-R03-B01,QUAR-02-R05-B01,W-101,2026-08-25 18:57:31.969562,REPLENISHMENT
MOV-00164,MED-1061,BATCH-MED-1061-01,200,QUAR-04-R01-B01,QUAR-01-R04-B01,W-105,2026-08-20 19:57:31.969562,RELOCATION
MOV-00167,MED-1062,BATCH-MED-1062-01,50,AMBI-01-R03-B04,A-03-R02-B04,W-104,2026-08-13 14:57:31.969562,ISOLATION
MOV-00169,MED-1063,BATCH-MED-1063-01,200,HIGH-04-R01-B01,HIGH-01-R03-B03,W-102,2026-08-06 20:57:31.969562,ISOLATION
MOV-00171,MED-1064,BATCH-MED-1064-01,50,AMBI-02-R01-B02,AMBI-02-R05-B01,W-103,2026-08-13 11:57:31.969562,ISOLATION
MOV-00174,MED-1066,BATCH-MED-1066-01,200,COLD-01-R04-B02,COLD-03-R01-B04,W-102,2026-08-16 15:57:31.969562,RELOCATION
MOV-00176,MED-1067,BATCH-MED-1067-01,100,HIGH-03-R04-B02,HIGH-01-R05-B01,W-102,2026-08-10 13:57:31.969562,RELOCATION
MOV-00179,MED-1068,BATCH-MED-1068-01,100,QUAR-04-R04-B02,QUAR-01-R04-B03,W-102,2026-08-08 23:57:31.969562,REPLENISHMENT
MOV-00181,MED-1069,BATCH-MED-1069-01,100,QUAR-01-R04-B03,QUAR-04-R01-B01,W-105,2026-08-06 09:57:31.969562,REPLENISHMENT
MOV-00183,MED-1070,BATCH-MED-1070-01,100,CONT-03-R05-B04,CONT-01-R03-B02,W-105,2026-08-09 03:57:31.969562,ISOLATION
MOV-00184,MED-1070,BATCH-MED-1070-01,200,CONT-01-R03-B02,CONT-03-R02-B02,W-101,2026-08-11 20:57:31.969562,RELOCATION
MOV-00185,MED-1070,BATCH-MED-1070-01,50,CONT-03-R02-B02,CONT-04-R03-B02,W-105,2026-08-15 03:57:31.969562,ISOLATION
MOV-00188,MED-1071,BATCH-MED-1071-01,200,COLD-04-R04-B03,COLD-03-R04-B02,W-101,2026-08-11 21:57:31.969562,ISOLATION
MOV-00189,MED-1071,BATCH-MED-1071-01,100,COLD-03-R04-B02,COLD-03-R05-B04,W-101,2026-08-15 00:57:31.969562,REPLENISHMENT
MOV-00190,MED-1071,BATCH-MED-1071-01,200,COLD-03-R05-B04,COLD-02-R04-B01,W-102,2026-08-17 14:57:31.969562,ISOLATION
MOV-00193,MED-1072,BATCH-MED-1072-01,100,AMBI-01-R02-B04,AMBI-03-R04-B01,W-104,2026-08-11 20:57:31.969562,REPLENISHMENT
MOV-00196,MED-1074,BATCH-MED-1074-01,100,COLD-02-R03-B01,COLD-03-R04-B03,W-102,2026-08-27 00:57:31.969562,RELOCATION
MOV-00197,MED-1074,BATCH-MED-1074-01,50,COLD-03-R04-B03,COLD-03-R05-B03,W-103,2026-08-29 21:57:31.969562,RELOCATION
MOV-00198,MED-1074,BATCH-MED-1074-01,200,COLD-03-R05-B03,COLD-01-R04-B02,W-104,2026-09-01 16:57:31.969562,ISOLATION
MOV-00200,MED-1075,BATCH-MED-1075-01,200,AMBI-02-R03-B02,AMBI-01-R02-B02,W-101,2026-08-20 17:57:31.969562,REPLENISHMENT
MOV-00201,MED-1075,BATCH-MED-1075-01,200,AMBI-01-R02-B02,AMBI-03-R04-B04,W-102,2026-08-23 17:57:31.969562,RELOCATION
MOV-00202,MED-1075,BATCH-MED-1075-01,100,AMBI-03-R04-B04,AMBI-01-R05-B01,W-102,2026-08-26 22:57:31.969562,ISOLATION
MOV-00205,MED-1077,BATCH-MED-1077-01,200,HIGH-02-R05-B02,HIGH-03-R01-B04,W-104,2026-08-19 01:57:31.969562,ISOLATION
MOV-00207,MED-1078,BATCH-MED-1078-01,100,HIGH-03-R03-B04,HIGH-02-R03-B02,W-102,2026-08-22 10:57:31.969562,REPLENISHMENT
MOV-00208,MED-1078,BATCH-MED-1078-01,100,HIGH-02-R03-B02,HIGH-01-R02-B03,W-104,2026-08-25 15:57:31.969562,ISOLATION
MOV-00211,MED-1080,BATCH-MED-1080-01,50,AMBI-04-R02-B04,AMBI-01-R02-B01,W-105,2026-08-20 16:57:31.969562,ISOLATION
MOV-00212,MED-1080,BATCH-MED-1080-01,100,AMBI-01-R02-B01,AMBI-04-R03-B03,W-102,2026-08-23 18:57:31.969562,REPLENISHMENT
MOV-00213,MED-1080,BATCH-MED-1080-01,50,AMBI-04-R03-B03,AMBI-02-R05-B02,W-102,2026-08-26 15:57:31.969562,ISOLATION
MOV-00216,MED-1081,BATCH-MED-1081-01,100,HIGH-02-R03-B02,HIGH-03-R02-B01,W-103,2026-08-09 10:57:31.969562,ISOLATION
MOV-00217,MED-1081,BATCH-MED-1081-01,50,HIGH-03-R02-B01,HIGH-04-R01-B03,W-104,2026-08-12 13:57:31.969562,REPLENISHMENT
MOV-00218,MED-1081,BATCH-MED-1081-01,100,HIGH-04-R01-B03,HIGH-02-R02-B02,W-104,2026-08-15 11:57:31.969562,RELOCATION
MOV-00220,MED-1082,BATCH-MED-1082-01,200,COLD-01-R05-B02,COLD-02-R03-B02,W-102,2026-08-26 14:57:31.969562,REPLENISHMENT
MOV-00221,MED-1082,BATCH-MED-1082-01,200,COLD-02-R03-B02,COLD-04-R03-B03,W-103,2026-08-29 18:57:31.969562,REPLENISHMENT
MOV-00223,MED-1083,BATCH-MED-1083-01,200,HIGH-04-R01-B02,HIGH-04-R01-B02,W-101,2026-08-12 13:57:31.969562,ISOLATION
MOV-00224,MED-1083,BATCH-MED-1083-01,200,HIGH-04-R01-B02,HIGH-01-R01-B04,W-101,2026-08-15 12:57:31.969562,RELOCATION
MOV-00225,MED-1083,BATCH-MED-1083-01,200,HIGH-01-R01-B04,HIGH-03-R03-B04,W-102,2026-08-18 13:57:31.969562,RELOCATION
MOV-00227,MED-1084,BATCH-MED-1084-01,200,AMBI-02-R02-B03,AMBI-04-R05-B02,W-104,2026-08-10 09:57:31.969562,RELOCATION
MOV-00228,MED-1084,BATCH-MED-1084-01,200,AMBI-04-R05-B02,A-03-R02-B04,W-104,2026-08-13 10:57:31.969562,RELOCATION
MOV-00229,MED-1084,BATCH-MED-1084-01,200,A-03-R02-B04,AMBI-01-R01-B02,W-103,2026-08-16 10:57:31.969562,ISOLATION
MOV-00231,MED-1085,BATCH-MED-1085-01,200,AMBI-04-R01-B04,AMBI-02-R01-B04,W-103,2026-08-13 20:57:31.969562,REPLENISHMENT
MOV-00234,MED-1086,BATCH-MED-1086-01,100,HIGH-04-R03-B04,HIGH-01-R01-B04,W-104,2026-08-18 19:57:31.969562,REPLENISHMENT
MOV-00236,MED-1087,BATCH-MED-1087-01,200,AMBI-01-R01-B01,AMBI-04-R03-B04,W-101,2026-08-21 15:57:31.969562,RELOCATION
MOV-00237,MED-1087,BATCH-MED-1087-01,200,AMBI-04-R03-B04,AMBI-02-R02-B03,W-104,2026-08-25 01:57:31.969562,REPLENISHMENT
MOV-00240,MED-1088,BATCH-MED-1088-01,100,CONT-01-R01-B04,CONT-03-R03-B02,W-102,2026-08-21 07:57:31.969562,ISOLATION
MOV-00241,MED-1088,BATCH-MED-1088-01,100,CONT-03-R03-B02,CONT-02-R03-B02,W-105,2026-08-24 15:57:31.969562,REPLENISHMENT
MOV-00242,MED-1088,BATCH-MED-1088-01,50,CONT-02-R03-B02,CONT-03-R03-B01,W-101,2026-08-27 17:57:31.969562,ISOLATION
MOV-00244,MED-1089,BATCH-MED-1089-01,100,QUAR-01-R02-B02,QUAR-04-R04-B04,W-101,2026-08-23 09:57:31.969562,ISOLATION
MOV-00245,MED-1089,BATCH-MED-1089-01,100,QUAR-04-R04-B04,QUAR-02-R04-B02,W-102,2026-08-26 10:57:31.969562,REPLENISHMENT
MOV-00246,MED-1089,BATCH-MED-1089-01,100,QUAR-02-R04-B02,QUAR-04-R03-B02,W-102,2026-08-29 09:57:31.969562,ISOLATION
MOV-00248,MED-1090,BATCH-MED-1090-01,200,HIGH-01-R03-B02,HIGH-03-R02-B04,W-102,2026-08-07 18:57:31.969562,ISOLATION
MOV-00250,MED-1091,BATCH-MED-1091-01,50,QUAR-01-R04-B01,QUAR-01-R04-B01,W-102,2026-08-24 18:57:31.969562,REPLENISHMENT
MOV-00251,MED-1091,BATCH-MED-1091-01,200,QUAR-01-R04-B01,QUAR-03-R05-B01,W-105,2026-08-28 00:57:31.969562,REPLENISHMENT
MOV-00254,MED-1092,BATCH-MED-1092-01,200,CONT-04-R04-B04,CONT-04-R03-B03,W-105,2026-08-16 07:57:31.969562,RELOCATION
MOV-00256,MED-1093,BATCH-MED-1093-01,100,COLD-01-R05-B01,COLD-03-R04-B04,W-103,2026-08-18 11:57:31.969562,REPLENISHMENT
MOV-00258,MED-1094,BATCH-MED-1094-01,100,QUAR-02-R03-B04,QUAR-01-R04-B01,W-101,2026-08-18 19:57:31.969562,REPLENISHMENT
MOV-00259,MED-1094,BATCH-MED-1094-01,100,QUAR-01-R04-B01,QUAR-03-R01-B02,W-103,2026-08-22 02:57:31.969562,REPLENISHMENT
MOV-00261,MED-1095,BATCH-MED-1095-01,200,CONT-01-R05-B01,CONT-02-R05-B04,W-104,2026-08-17 10:57:31.969562,ISOLATION
MOV-00262,MED-1095,BATCH-MED-1095-01,100,CONT-02-R05-B04,CONT-02-R03-B03,W-103,2026-08-20 11:57:31.969562,REPLENISHMENT
MOV-00264,MED-1096,BATCH-MED-1096-01,50,CONT-02-R02-B01,CONT-03-R05-B03,W-104,2026-08-08 10:57:31.969562,REPLENISHMENT
MOV-00265,MED-1096,BATCH-MED-1096-01,200,CONT-03-R05-B03,CONT-01-R02-B04,W-104,2026-08-11 05:57:31.969562,RELOCATION
MOV-00266,MED-1096,BATCH-MED-1096-01,100,CONT-01-R02-B04,CONT-02-R05-B02,W-102,2026-08-14 02:57:31.969562,ISOLATION
MOV-00268,MED-1097,BATCH-MED-1097-01,50,HIGH-01-R03-B01,HIGH-03-R04-B01,W-103,2026-08-12 05:57:31.969562,ISOLATION
MOV-00269,MED-1097,BATCH-MED-1097-01,200,HIGH-03-R04-B01,HIGH-04-R02-B04,W-101,2026-08-15 06:57:31.969562,RELOCATION
MOV-00270,MED-1097,BATCH-MED-1097-01,200,HIGH-04-R02-B04,HIGH-02-R03-B03,W-103,2026-08-18 07:57:31.969562,RELOCATION
MOV-00273,MED-1099,BATCH-MED-1099-01,200,AMBI-01-R03-B04,AMBI-04-R04-B03,W-102,2026-08-18 20:57:31.969562,REPLENISHMENT
MOV-00274,MED-1099,BATCH-MED-1099-01,50,AMBI-04-R04-B03,AMBI-01-R01-B03,W-103,2026-08-21 16:57:31.969562,REPLENISHMENT
MOV-00276,MED-1100,BATCH-MED-1100-01,100,AMBI-01-R04-B02,AMBI-04-R02-B02,W-104,2026-08-22 12:57:31.969562,RELOCATION
MOV-00278,MED-1101,BATCH-MED-1101-01,50,HIGH-02-R05-B04,HIGH-01-R04-B01,W-102,2026-08-24 17:57:31.969562,ISOLATION
MOV-00279,MED-1101,BATCH-MED-1101-01,50,HIGH-01-R04-B01,HIGH-02-R01-B02,W-103,2026-08-27 15:57:31.969562,ISOLATION
MOV-00281,MED-1102,BATCH-MED-1102-01,200,HIGH-02-R03-B01,HIGH-03-R03-B02,W-105,2026-08-13 20:57:31.969562,RELOCATION
MOV-00282,MED-1102,BATCH-MED-1102-01,100,HIGH-03-R03-B02,HIGH-03-R05-B01,W-104,2026-08-17 05:57:31.969562,RELOCATION
MOV-00284,MED-1103,BATCH-MED-1103-01,50,COLD-02-R04-B04,COLD-02-R02-B02,W-103,2026-08-24 05:57:31.969562,ISOLATION
MOV-00285,MED-1103,BATCH-MED-1103-01,200,COLD-02-R02-B02,COLD-04-R01-B03,W-103,2026-08-27 06:57:31.969562,ISOLATION
MOV-00287,MED-1104,BATCH-MED-1104-01,200,HIGH-04-R04-B03,HIGH-02-R05-B02,W-101,2026-08-23 14:57:31.969562,ISOLATION
MOV-00288,MED-1104,BATCH-MED-1104-01,50,HIGH-02-R05-B02,HIGH-01-R05-B01,W-102,2026-08-26 10:57:31.969562,REPLENISHMENT
MOV-00289,MED-1104,BATCH-MED-1104-01,100,HIGH-01-R05-B01,HIGH-01-R04-B02,W-102,2026-08-29 07:57:31.969562,ISOLATION
MOV-00291,MED-1105,BATCH-MED-1105-01,50,CONT-01-R05-B01,CONT-02-R01-B02,W-104,2026-08-08 12:57:31.969562,REPLENISHMENT
MOV-00292,MED-1105,BATCH-MED-1105-01,100,CONT-02-R01-B02,CONT-01-R05-B01,W-104,2026-08-11 06:57:31.969562,ISOLATION
MOV-00293,MED-1105,BATCH-MED-1105-01,50,CONT-01-R05-B01,CONT-01-R02-B02,W-104,2026-08-14 09:57:31.969562,RELOCATION
MOV-00296,MED-1106,BATCH-MED-1106-01,100,HIGH-04-R01-B02,HIGH-01-R01-B03,W-101,2026-08-12 21:57:31.969562,REPLENISHMENT
MOV-00297,MED-1106,BATCH-MED-1106-01,100,HIGH-01-R01-B03,HIGH-02-R02-B04,W-102,2026-08-16 02:57:31.969562,REPLENISHMENT
MOV-00298,MED-1106,BATCH-MED-1106-01,100,HIGH-02-R02-B04,HIGH-04-R03-B04,W-105,2026-08-19 05:57:31.969562,ISOLATION
MOV-00301,MED-1107,BATCH-MED-1107-01,50,CONT-01-R02-B01,CONT-02-R03-B03,W-104,2026-08-12 03:57:31.969562,REPLENISHMENT
MOV-00302,MED-1107,BATCH-MED-1107-01,100,CONT-02-R03-B03,CONT-03-R01-B04,W-101,2026-08-15 00:57:31.969562,RELOCATION
