scan_id,sku,batch_id,quantity,from_location,to_location,worker_id,timestamp,zone
PUT-00063,MED-1024,BATCH-MED-1024-01,500,RECEIVING-DOCK-1,CONT-01-R03-B03,W-105,2026-08-04 18:57:31.969562,CONTROLLED_ACCESS
PUT-00067,MED-1025,BATCH-MED-1025-01,500,RECEIVING-DOCK-1,AMBI-03-R01-B03,W-102,2026-08-06 11:57:31.969562,AMBIENT
PUT-00071,MED-1026,BATCH-MED-1026-01,500,RECEIVING-DOCK-1,QUAR-03-R05-B04,W-104,2026-08-19 04:57:31.969562,QUARANTINE
PUT-00074,MED-1027,BATCH-MED-1027-01,50,RECEIVING-DOCK-1,QUAR-04-R03-B02,W-103,2026-08-21 17:57:31.969562,QUARANTINE
PUT-00077,MED-1028,BATCH-MED-1028-01,200,RECEIVING-DOCK-1,HIGH-01-R02-B02,W-102,2026-08-12 23:57:31.969562,HIGH_VALUE
PUT-00079,MED-1029,BATCH-MED-1029-01,200,RECEIVING-DOCK-1,QUAR-01-R05-B02,W-104,2026-08-21 14:57:31.969562,QUARANTINE
PUT-00082,MED-1030,BATCH-MED-1030-01,100,RECEIVING-DOCK-1,CONT-03-R04-B02,W-103,2026-08-22 06:57:31.969562,CONTROLLED_ACCESS
PUT-00085,MED-1031,BATCH-MED-1031-01,100,RECEIVING-DOCK-1,CONT-04-R04-B01,W-103,2026-08-17 17:57:31.969562,CONTROLLED_ACCESS
PUT-00089,MED-1032,BATCH-MED-1032-01,200,RECEIVING-DOCK-1,HIGH-01-R02-B01,W-103,2026-08-05 03:57:31.969562,HIGH_VALUE
PUT-00092,MED-1033,BATCH-MED-1033-01,100,RECEIVING-DOCK-1,COLD-03-R05-B04,W-102,2026-08-09 19:57:31.969562,COLD_STORAGE
PUT-00095,MED-1034,BATCH-MED-1034-01,100,RECEIVING-DOCK-1,CONT-03-R05-B04,W-103,2026-08-17 14:57:31.969562,CONTROLLED_ACCESS
PUT-00097,MED-1035,BATCH-MED-1035-01,500,RECEIVING-DOCK-1,HIGH-03-R03-B01,W-104,2026-08-15 10:57:31.969562,HIGH_VALUE
PUT-00102,MED-1036,BATCH-MED-1036-01,200,RECEIVING-DOCK-1,HIGH-03-R01-B04,W-105,2026-08-11 14:57:31.969562,HIGH_VALUE
PUT-00104,MED-1037,BATCH-MED-1037-01,500,RECEIVING-DOCK-1,CONT-01-R05-B04,W-101,2026-08-25 11:57:31.969562,CONTROLLED_ACCESS
PUT-00106,MED-1038,BATCH-MED-1038-01,50,RECEIVING-DOCK-1,HIGH-03-R02-B03,W-105,2026-08-14 01:57:31.969562,HIGH_VALUE
PUT-00109,MED-1039,BATCH-MED-1039-01,500,RECEIVING-DOCK-1,CONT-01-R04-B03,W-102,2026-08-17 07:57:31.969562,CONTROLLED_ACCESS
PUT-00111,MED-1040,BATCH-MED-1040-01,500,RECEIVING-DOCK-1,AMBI-03-R05-B01,W-101,2026-08-19 17:57:31.969562,AMBIENT
PUT-00112,MED-1041,BATCH-MED-1041-01,200,RECEIVING-DOCK-1,QUAR-03-R01-B04,W-103,2026-08-22 22:57:31.969562,QUARANTINE
PUT-00113,MED-1042,BATCH-MED-1042-01,50,RECEIVING-DOCK-1,COLD-03-R02-B03,W-102,2026-08-09 08:57:31.969562,COLD_STORAGE
PUT-00115,MED-1043,BATCH-MED-1043-01,50,RECEIVING-DOCK-1,CONT-01-R04-B04,W-103,2026-08-06 13:57:31.969562,CONTROLLED_ACCESS
PUT-00119,MED-1044,BATCH-MED-1044-01,500,RECEIVING-DOCK-1,CONT-04-R04-B03,W-105,2026-08-20 11:57:31.969562,CONTROLLED_ACCESS
PUT-00121,MED-1045,BATCH-MED-1045-01,100,RECEIVING-DOCK-1,COLD-01-R05-B04,W-103,2026-08-14 17:57:31.969562,COLD_STORAGE
PUT-00122,MED-1046,BATCH-MED-1046-01,200,RECEIVING-DOCK-1,QUAR-01-R03-B02,W-102,2026-08-17 09:57:31.969562,QUARANTINE
PUT-00127,MED-1047,BATCH-MED-1047-01,50,RECEIVING-DOCK-1,CONT-03-R04-B01,W-104,2026-08-05 19:57:31.969562,CONTROLLED_ACCESS
PUT-00128,MED-1048,BATCH-MED-1048-01,500,RECEIVING-DOCK-1,QUAR-04-R01-B01,W-103,2026-08-17 18:57:31.969562,QUARANTINE
PUT-00133,MED-1049,BATCH-MED-1049-01,200,RECEIVING-DOCK-1,QUAR-02-R03-B02,W-104,2026-08-11 12:57:31.969562,QUARANTINE
PUT-00136,MED-1050,BATCH-MED-1050-01,500,RECEIVING-DOCK-1,COLD-01-R05-B04,W-104,2026-08-09 23:57:31.969562,COLD_STORAGE
PUT-00137,MED-1051,BATCH-MED-1051-01,100,RECEIVING-DOCK-1,AMBI-03-R03-B02,W-102,2026-08-09 01:57:31.969562,AMBIENT
PUT-00139,MED-1052,BATCH-MED-1052-01,500,RECEIVING-DOCK-1,QUAR-04-R02-B04,W-102,2026-08-25 12:57:31.969562,QUARANTINE
PUT-00140,MED-1053,BATCH-MED-1053-01,50,RECEIVING-DOCK-1,HIGH-03-R02-B02,W-105,2026-08-24 03:57:31.969562,HIGH_VALUE
PUT-00143,MED-1054,BATCH-MED-1054-01,200,RECEIVING-DOCK-1,COLD-01-R03-B04,W-105,2026-08-13 04:57:31.969562,COLD_STORAGE
PUT-00144,MED-1055,BATCH-MED-1055-01,50,RECEIVING-DOCK-1,COLD-04-R05-B02,W-101,2026-08-09 03:57:31.969562,COLD_STORAGE
PUT-00148,MED-1056,BATCH-MED-1056-01,500,RECEIVING-DOCK-1,CONT-03-R01-B03,W-105,2026-08-08 23:57:31.969562,CONTROLLED_ACCESS
PUT-00150,MED-1057,BATCH-MED-1057-01,100,RECEIVING-DOCK-1,AMBI-04-R04-B04,W-101,2026-08-10 07:57:31.969562,AMBIENT
PUT-00153,MED-1058,BATCH-MED-1058-01,200,RECEIVING-DOCK-1,AMBI-02-R01-B04,W-104,2026-08-25 01:57:31.969562,AMBIENT
PUT-00157,MED-1059,BATCH-MED-1059-01,200,RECEIVING-DOCK-1,COLD-03-R05-B03,W-103,2026-08-08 05:57:31.969562,COLD_STORAGE
PUT-00159,MED-1060,BATCH-MED-1060-01,500,RECEIVING-DOCK-1,QUAR-02-R04-B04,W-103,2026-08-18 17:57:31.969562,QUARANTINE
PUT-00163,MED-1061,BATCH-MED-1061-01,200,RECEIVING-DOCK-1,QUAR-04-R01-B01,W-105,2026-08-19 09:57:31.969562,QUARANTINE
PUT-00166,MED-1062,BATCH-MED-1062-01,500,RECEIVING-DOCK-1,AMBI-01-R03-B04,W-101,2026-08-12 05:57:31.969562,AMBIENT
PUT-00168,MED-1063,BATCH-MED-1063-01,200,RECEIVING-DOCK-1,HIGH-04-R01-B01,W-103,2026-08-05 09:57:31.969562,HIGH_VALUE
PUT-00170,MED-1064,BATCH-MED-1064-01,50,RECEIVING-DOCK-1,AMBI-02-R01-B02,W-104,2026-08-12 10:57:31.969562,AMBIENT
PUT-00172,MED-1065,BATCH-MED-1065-01,500,RECEIVING-DOCK-1,QUAR-02-R04-B04,W-102,2026-08-10 19:57:31.969562,QUARANTINE
PUT-00173,MED-1066,BATCH-MED-1066-01,500,RECEIVING-DOCK-1,COLD-01-R04-B02,W-103,2026-08-15 10:57:31.969562,COLD_STORAGE
PUT-00175,MED-1067,BATCH-MED-1067-01,50,RECEIVING-DOCK-1,HIGH-03-R04-B02,W-104,2026-08-09 05:57:31.969562,HIGH_VALUE
PUT-00178,MED-1068,BATCH-MED-1068-01,200,RECEIVING-DOCK-1,QUAR-04-R04-B02,W-103,2026-08-07 15:57:31.969562,QUARANTINE
PUT-00180,MED-1069,BATCH-MED-1069-01,200,RECEIVING-DOCK-1,QUAR-01-R04-B03,W-105,2026-08-05 06:57:31.969562,QUARANTINE
PUT-00182,MED-1070,BATCH-MED-1070-01,100,RECEIVING-DOCK-1,CONT-03-R05-B04,W-102,2026-08-07 18:57:31.969562,CONTROLLED_ACCESS
PUT-00187,MED-1071,BATCH-MED-1071-01,500,RECEIVING-DOCK-1,COLD-04-R04-B03,W-101,2026-08-10 13:57:31.969562,COLD_STORAGE
PUT-00192,MED-1072,BATCH-MED-1072-01,200,RECEIVING-DOCK-1,AMBI-01-R02-B04,W-104,2026-08-10 14:57:31.969562,AMBIENT
PUT-00194,MED-1073,BATCH-MED-1073-01,50,RECEIVING-DOCK-1,CONT-01-R05-B01,W-102,2026-08-05 04:57:31.969562,CONTROLLED_ACCESS
PUT-00195,MED-1074,BATCH-MED-1074-01,200,RECEIVING-DOCK-1,COLD-02-R03-B01,W-104,2026-08-25 15:57:31.969562,COLD_STORAGE
PUT-00199,MED-1075,BATCH-MED-1075-01,50,RECEIVING-DOCK-1,AMBI-02-R03-B02,W-105,2026-08-19 13:57:31.969562,AMBIENT
PUT-00203,MED-1076,BATCH-MED-1076-01,200,RECEIVING-DOCK-1,CONT-04-R04-B04,W-102,2026-08-15 08:57:31.969562,CONTROLLED_ACCESS
PUT-00204,MED-1077,BATCH-MED-1077-01,100,RECEIVING-DOCK-1,HIGH-02-R05-B02,W-104,2026-08-17 14:57:31.969562,HIGH_VALUE
PUT-00206,MED-1078,BATCH-MED-1078-01,500,RECEIVING-DOCK-1,HIGH-03-R03-B04,W-102,2026-08-21 06:57:31.969562,HIGH_VALUE
PUT-00209,MED-1079,BATCH-MED-1079-01,200,RECEIVING-DOCK-1,HIGH-02-R03-B03,W-101,2026-08-17 09:57:31.969562,HIGH_VALUE
PUT-00210,MED-1080,BATCH-MED-1080-01,200,RECEIVING-DOCK-1,AMBI-04-R02-B04,W-104,2026-08-19 14:57:31.969562,AMBIENT
PUT-00215,MED-1081,BATCH-MED-1081-01,200,RECEIVING-DOCK-1,HIGH-02-R03-B02,W-104,2026-08-08 05:57:31.969562,HIGH_VALUE
PUT-00219,MED-1082,BATCH-MED-1082-01,500,RECEIVING-DOCK-1,COLD-01-R05-B02,W-103,2026-08-25 07:57:31.969562,COLD_STORAGE
PUT-00222,MED-1083,BATCH-MED-1083-01,200,RECEIVING-DOCK-1,HIGH-04-R01-B02,W-102,2026-08-11 10:57:31.969562,HIGH_VALUE
PUT-00226,MED-1084,BATCH-MED-1084-01,200,RECEIVING-DOCK-1,AMBI-02-R02-B03,W-101,2026-08-09 01:57:31.969562,AMBIENT
PUT-00230,MED-1085,BATCH-MED-1085-01,50,RECEIVING-DOCK-1,AMBI-04-R01-B04,W-101,2026-08-12 10:57:31.969562,AMBIENT
PUT-00233,MED-1086,BATCH-MED-1086-01,100,RECEIVING-DOCK-1,HIGH-04-R03-B04,W-103,2026-08-17 17:57:31.969562,HIGH_VALUE
PUT-00235,MED-1087,BATCH-MED-1087-01,500,RECEIVING-DOCK-1,AMBI-01-R01-B01,W-104,2026-08-20 13:57:31.969562,AMBIENT
PUT-00239,MED-1088,BATCH-MED-1088-01,50,RECEIVING-DOCK-1,CONT-01-R01-B04,W-102,2026-08-20 05:57:31.969562,CONTROLLED_ACCESS
PUT-00243,MED-1089,BATCH-MED-1089-01,100,RECEIVING-DOCK-1,QUAR-01-R02-B02,W-101,2026-08-22 02:57:31.969562,QUARANTINE
PUT-00247,MED-1090,BATCH-MED-1090-01,100,RECEIVING-DOCK-1,HIGH-01-R03-B02,W-101,2026-08-06 06:57:31.969562,HIGH_VALUE
PUT-00249,MED-1091,BATCH-MED-1091-01,200,RECEIVING-DOCK-1,QUAR-01-R04-B01,W-104,2026-08-23 15:57:31.969562,QUARANTINE
PUT-00253,MED-1092,BATCH-MED-1092-01,50,RECEIVING-DOCK-1,CONT-04-R04-B04,W-103,2026-08-15 03:57:31.969562,CONTROLLED_ACCESS
PUT-00255,MED-1093,BATCH-MED-1093-01,200,RECEIVING-DOCK-1,COLD-01-R05-B01,W-104,2026-08-17 06:57:31.969562,COLD_STORAGE
PUT-00257,MED-1094,BATCH-MED-1094-01,500,RECEIVING-DOCK-1,QUAR-02-R03-B04,W-105,2026-08-17 16:57:31.969562,QUARANTINE
PUT-00260,MED-1095,BATCH-MED-1095-01,100,RECEIVING-DOCK-1,CONT-01-R05-B01,W-104,2026-08-16 05:57:31.969562,CONTROLLED_ACCESS
PUT-00263,MED-1096,BATCH-MED-1096-01,100,RECEIVING-DOCK-1,CONT-02-R02-B01,W-105,2026-08-06 22:57:31.969562,CONTROLLED_ACCESS
PUT-00267,MED-1097,BATCH-MED-1097-01,500,RECEIVING-DOCK-1,HIGH-01-R03-B01,W-105,2026-08-10 20:57:31.969562,HIGH_VALUE
PUT-00271,MED-1098,BATCH-MED-1098-01,500,RECEIVING-DOCK-1,AMBI-04-R03-B04,W-103,2026-08-04 18:57:31.969562,AMBIENT
PUT-00272,MED-1099,BATCH-MED-1099-01,100,RECEIVING-DOCK-1,AMBI-01-R03-B04,W-104,2026-08-17 08:57:31.969562,AMBIENT
PUT-00275,MED-1100,BATCH-MED-1100-01,200,RECEIVING-DOCK-1,AMBI-01-R04-B02,W-103,2026-08-21 04:57:31.969562,AMBIENT
PUT-00277,MED-1101,BATCH-MED-1101-01,50,RECEIVING-DOCK-1,HIGH-02-R05-B04,W-101,2026-08-23 06:57:31.969562,HIGH_VALUE
PUT-00280,MED-1102,BATCH-MED-1102-01,100,RECEIVING-DOCK-1,HIGH-02-R03-B01,W-102,2026-08-12 19:57:31.969562,HIGH_VALUE
PUT-00283,MED-1103,BATCH-MED-1103-01,50,RECEIVING-DOCK-1,COLD-02-R04-B04,W-105,2026-08-22 21:57:31.969562,COLD_STORAGE
PUT-00286,MED-1104,BATCH-MED-1104-01,200,RECEIVING-DOCK-1,HIGH-04-R04-B03,W-104,2026-08-22 04:57:31.969562,HIGH_VALUE
PUT-00290,MED-1105,BATCH-MED-1105-01,500,RECEIVING-DOCK-1,CONT-01-R05-B01,W-102,2026-08-07 03:57:31.969562,CONTROLLED_ACCESS
PUT-00295,MED-1106,BATCH-MED-1106-01,500,RECEIVING-DOCK-1,HIGH-04-R01-B02,W-104,2026-08-11 17:57:31.969562,HIGH_VALUE
PUT-00300,MED-1107,BATCH-MED-1107-01,100,RECEIVING-DOCK-1,CONT-01-R02-B01,W-104,2026-08-10 22:57:31.969562,CONTROLLED_ACCESS
PUT-00304,MED-1108,BATCH-MED-1108-01,100,RECEIVING-DOCK-1,HIGH-02-R01-B01,W-102,2026-08-06 11:57:31.969562,HIGH_VALUE
PUT-00305,MED-1109,BATCH-MED-1109-01,100,RECEIVING-DOCK-1,CONT-02-R04-B03,W-103,2026-08-05 22:57:31.969562,CONTROLLED_ACCESS
PUT-00307,MED-1110,BATCH-MED-1110-01,100,RECEIVING-DOCK-1,COLD-03-R04-B01,W-102,2026-08-24 07:57:31.969562,COLD_STORAGE
PUT-MED1042,MED-1042,BATCH-MED1042-01,100,RECEIVING-DOCK-1,A-03-R02-B04,W-101,2026-08-21 15:57:31.969562,AMBIENT
